rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
1801CS32,7,7,CS571,,7/23/2021 15:59:11,,7/23/2021 15:59:11,Department Elective - III
1801CS32,7,7,CS577,,7/23/2021 15:59:11,,7/23/2021 15:59:11,Department Elective - IV
1801CS32,7,7,HS451,,7/23/2021 15:59:11,,7/23/2021 15:59:11,Open Elective
1801CE19,7,7,CE543,,7/23/2021 19:45:17,,7/23/2021 19:45:17,Department Elective - II
1801CS33,7,7,CS544,,7/23/2021 00:19:58,,7/23/2021 00:19:58,Department Elective - IV
1801CB07,7,7,CB409,,7/23/2021 11:17:12,,7/23/2021 11:17:12,CORE
2121PH06,2,2,PH701,,3/25/2021 10:14:48,,3/25/2021 10:14:48,CREDIT
2121ME13,2,2,ME533,,3/25/2021 18:40:05,,3/25/2021 18:40:05,CREDIT
2121ME06,2,2,MH503,,3/24/2021 17:54:29,,3/24/2021 17:54:29,CREDIT
2121ME13,2,2,MH503,,3/25/2021 18:40:05,,3/25/2021 18:40:05,CREDIT
2121HS13,2,2,HS725,,7/26/2021 12:42:59,,7/26/2021 12:42:59,CREDIT
2121MA03,2,2,MA529,,3/24/2021 22:17:35,,3/24/2021 22:17:35,CREDIT
2121EE11,2,2,EE525,,3/25/2021 09:17:02,,3/25/2021 09:17:02,CREDIT
2121MA04,2,2,MA533,,7/24/2021 14:23:54,,7/24/2021 14:23:54,CREDIT
2121ME01,2,2,ME537,,3/25/2021 15:54:46,,3/25/2021 15:54:46,CREDIT
2121HS11,2,2,HS725,,3/24/2021 09:45:52,,3/24/2021 09:45:52,CREDIT
2121EE11,2,2,CS564,,3/25/2021 09:17:02,,3/25/2021 09:17:02,CREDIT
2121HS07,2,2,HS733,,3/23/2021 08:57:32,,3/23/2021 08:57:32,AUDIT
2121EE06,2,2,ME512,,3/23/2021 15:52:15,,3/23/2021 15:52:15,CREDIT
2121HS05,2,2,HS713,,3/24/2021 09:44:55,,3/24/2021 09:44:55,CREDIT
2121MA08,2,2,MA529,,3/25/2021 12:57:03,,3/25/2021 12:57:03,CREDIT
2121HS06,2,2,HS711,,3/25/2021 11:55:34,,3/25/2021 11:55:34,CREDIT
2121EE03,2,2,EE534,,3/25/2021 15:11:31,,3/25/2021 15:11:31,CREDIT
2012MA07,3,3,MA591,,3/23/2021 18:30:03,,3/23/2021 18:30:03,CORE
1801CS37,7,7,CS544,,7/23/2021 10:35:01,,7/23/2021 10:35:01,Department Elective - IV
2012MA07,3,3,MA521,,3/23/2021 18:30:03,,3/23/2021 18:30:03,CORE
2012MA06,3,3,MA525,,3/22/2021 14:00:54,,3/22/2021 14:00:54,CORE
1801CE21,7,7,CE517,,7/23/2021 09:42:48,,7/23/2021 09:42:48,Department Elective - I
1801CS38,7,7,CS491,,7/23/2021 12:09:03,,7/23/2021 12:09:03,CORE
1801CS38,7,7,CS564,,7/23/2021 12:09:03,,7/23/2021 12:09:03,Department Elective - III
1801CS38,7,7,CS571,,7/23/2021 12:09:03,,7/23/2021 12:09:03,Department Elective - II
2012MA05,3,3,MA527,,3/24/2021 09:58:24,,3/24/2021 09:58:24,Elective - I
2012MA05,3,3,MA521,,3/24/2021 09:58:24,,3/24/2021 09:58:24,CORE
2012MA03,3,3,MA525,,3/24/2021 22:30:04,,3/24/2021 22:30:04,CORE
2012CH22,3,3,CH591,,3/23/2021 10:16:30,,3/23/2021 10:16:30,CORE
1801CB14,7,7,CB409,,7/23/2021 11:19:41,,7/23/2021 11:19:41,CORE
2012CH22,3,3,CH523,,3/23/2021 10:16:30,,3/23/2021 10:16:30,CORE
1801CE22,7,7,CE495,,7/24/2021 12:50:26,,7/24/2021 12:50:26,CORE
1801CS40,7,7,CS491,,7/23/2021 11:42:45,,7/23/2021 11:42:45,CORE
1801CE22,7,7,CE543,,7/24/2021 12:50:26,,7/24/2021 12:50:26,Department Elective - II
2012CH21,3,3,CH530,,3/23/2021 22:22:05,,3/23/2021 22:22:05,CORE
2012CH20,3,3,CH591,,3/23/2021 21:01:46,,3/23/2021 21:01:46,CORE
2012CH20,3,3,CH523,,3/23/2021 21:01:46,,3/23/2021 21:01:46,CORE
1801CB14,7,7,CB417,,7/23/2021 11:19:41,,7/23/2021 11:19:41,CORE
2012CH18,3,3,CH605,,3/23/2021 20:19:46,,3/23/2021 20:19:46,Elective - I
