rollno,register_sem,subno,sub_type
2012CH19,3,CH591,CORE
2012CH16,3,CH591,CORE
2012CH21,3,CH591,CORE
2012CH12,3,CH591,CORE
2012CH11,3,CH591,CORE
2012CH10,3,CH591,CORE
2012CH09,3,CH591,CORE
2012CH02,3,CH591,CORE
2012CH18,3,CH591,CORE
2012CH13,3,CH591,CORE
