rollno,register_sem,subno,sub_type
2012MA09,3,MA591,CORE
2012MA14,3,MA591,CORE
2012MA11,3,MA591,CORE
2012MA10,3,MA591,CORE
2012MA05,3,MA591,CORE
2012MA13,3,MA591,CORE
2012MA23,3,MA591,CORE
2012MA12,3,MA591,CORE
2012MA08,3,MA591,CORE
2012MA03,3,MA591,CORE
